"alias";"railway";"express";"esr";"name"
"";"ЗБК";"2050502";"949301";"БУКАЧАЧА"
"";"ЗБК";"2051456";"949316";"ОСТ.ПУНКТ 68 КМ"
"";"ЗБК";"2051455";"949320";"БУХТА"
"";"ЗБК";"2051454";"949335";"ИКША"
"";"ЗБК";"2051453";"949342";"УСТЬ-ГОРБИЦА"
"";"ЗБК";"2051452";"949354";"НАЛГЕКАН"
"";"ЗБК";"2050038";"949369";"АНАМЖАК"
"";"ЗБК";"2051451";"949373";"КУМАКАНДА"
"";"ЗБК";"2051450";"949388";"МИЛЬГИДУН"
"";"";"2050179";"949392";"ПЛ 29 КМ"
"";"ЗБК";"2050525";"949509";"ЖИРЕКЕН"
"";"ЗБК";"2050415";"949513";"КАВЕКТА"
"";"ЗБК";"2050416";"949528";"АРЧИКОЙ"
"";"";"2050114";"949532";"ОП 6669 КМ"
"";"ЗБК";"2050417";"949602";"ЗИЛОВО"
"";"ЗБК";"2050136";"949617";"ТАМКА"
"";"ЗБК";"2050508";"949621";"ЗУДЫРА"
"";"";"2050115";"949636";"ОП 6695 КМ"
"";"ЗБК";"2050330";"950008";"БЕЛОГОРСК"
"";"ЗБК";"2050029";"950012";"ОСТ.ПУНКТ 5 КМ"
"";"ЗБК";"2050613";"950027";"НИЗИНА"
"";"";"2050164";"950031";"ОП 7868 КМ"
"";"ЗБК";"2050147";"950101";"БЕЛОГОРСК 2"
"";"ЗБК";"2050481";"950116";"ИТИКУТ"
"";"ЗБК";"2050546";"950120";"ПЛАТФОРМА 7871 КМ"
"";"ЗБК";"2050547";"950135";"ПЛАТФОРМА 7874 КМ"
"";"";"2050165";"950144";"ПЛ 7872 КМ"
"";"ЗБК";"2051440";"950313";"ОСТ.ПУНКТ 6713 КМ"
"";"ЗБК";"2050418";"950328";"УЛЬЯКАН"
"";"ЗБК";"2050419";"950402";"УРЮМ"
"";"ЗБК";"2050013";"950417";"КУЛЕНДЕКЕН"
"";"ЗБК";"2050421";"950421";"НАНАГРЫ"
"";"";"2050116";"950436";"ОП 6744 КМ"
"";"";"2050117";"950440";"ОП 6747 КМ"
"";"ЗБК";"2050422";"950506";"СБЕГА"
"";"ЗБК";"2050423";"950510";"ТЕМНАЯ"
"";"ЗБК";"2050424";"950525";"КЕНДАГИРЫ"
"";"";"2050118";"950530";"ОП 6795 КМ"
"";"ЗБК";"2050339";"950606";"КСЕНЬЕВСКАЯ"
"";"ЗБК";"2050425";"950614";"КАТАРАНГРА"
"";"";"2050119";"950629";"ОП 6820 КМ"
"";"ЗБК";"2050427";"950718";"АРТЕУШКА"
"";"ЗБК";"2050516";"950722";"ПЕНЬКОВАЯ"
"";"ЗБК";"2050428";"950737";"РАЗДОЛЬНОЕ"
"";"ЗБК";"2050426";"950741";"КИСЛЫЙ КЛЮЧ"
"";"";"2050150";"950756";"ОП 6845 КМ"
"";"";"2050151";"950760";"ОП 6855 КМ"
"";"";"2050152";"950775";"ОП 6900 КМ"
"";"";"2050153";"950782";"ОП 6905 КМ"
"";"ЗБК";"2050510";"950807";"МОГОЧА"
"";"";"2050154";"950811";"ОП 6913 КМ"
"";"ЗБК";"2050429";"950900";"ТАПТУГАРЫ"
"";"ЗБК";"2050431";"951000";"СЕМИОЗЕРНЫЙ"
"";"ЗБК";"2050432";"951015";"ЧАДОР"
"";"ЗБК";"2050499";"951020";"БЕДОВЫЙ"
"";"ЗБК";"2050433";"951034";"ГЕРМАНОВСКИЙ"
"";"";"2050155";"951049";"ОП 6974 КМ"
"";"ЗБК";"2050344";"951104";"АМАЗАР"
"";"ЗБК";"2050434";"951123";"КОЛОКОЛЬНЫЙ"
"";"ЗБК";"2050144";"951138";"ПОТАЙКА"
"";"ЗБК";"2050435";"951142";"ЧИЧАТКА"
"";"ЗБК";"2050436";"951157";"ЖАННА"
"";"ЗБК";"2050437";"951176";"МАЛОКОВАЛИ"
"";"ЗБК";"2050337";"951208";"ЕРОФЕЙ ПАВЛОВИЧ"
"";"ЗБК";"2050515";"951212";"ОРОЧЕНСКИЙ"
"";"ЗБК";"2050438";"951231";"АЯЧИ"
"";"ЗБК";"2050138";"951246";"УТЕНИ"
"";"ЗБК";"2050140";"951250";"ЯГОДНЫЙ"
"";"ЗБК";"2050511";"951265";"ИТАШИНО"
"";"ЗБК";"2050335";"951301";"УРУША"
"";"ЗБК";"2050519";"951316";"СГИБЕЕВО"
"";"ЗБК";"2050443";"951320";"ХАЛАН"
